DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
TAU,FLY_DOWNWARDS,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_2,DIVIDE_3,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_3,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_3,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_3
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS,ADD_TRIGGER
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_2
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS,TAU
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_2,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_10,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_3
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS,ADD_TRIGGER
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_2
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS,TAU
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_4,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_2,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,ADD_TRIGGER,DIVIDE_10,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,ADD_TRIGGER,DIVIDE_3,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,ADD_TRIGGER,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,ADD_TRIGGER,DIVIDE_4,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,ADD_TRIGGER,DIVIDE_2,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,ADD_TRIGGER,TAU,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_3
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,ADD_TRIGGER
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_2
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,TAU
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_4,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_2,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_10,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_3
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,ADD_TRIGGER
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_2
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,TAU
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_4,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_2,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,TAU,DIVIDE_3,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,TAU,DIVIDE_4,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,TAU,DIVIDE_2,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,TAU,TAU,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,TAU,TAU,ADD_TRIGGER,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS,ADD_TRIGGER,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_2,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,ADD_TRIGGER,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_2,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,TAU,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,FLY_DOWNWARDS,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_10,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_3,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_4,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_2,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_2,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_2,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_2,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS,ADD_TRIGGER,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,TAU,ADD_TRIGGER,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,TAU,DIVIDE_2,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,TAU,TAU,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,TAU,FLY_DOWNWARDS,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_10,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_3,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_4,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_2,TAU,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_2,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_3,ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_3,ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_4,DIVIDE_10,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_4,DIVIDE_10,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_4,DIVIDE_10,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_3,DIVIDE_2,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_3,DIVIDE_2,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_3,DIVIDE_2,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_3,DIVIDE_2,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_2,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_3,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS
DIVIDE_3,DIVIDE_2,ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS
DIVIDE_3,TAU,ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_3,TAU,ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_3,TAU,ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_3,TAU,ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_3,TAU,ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_3,TAU,ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,FLY_DOWNWARDS
DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,TAU,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,TAU,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,TAU,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,TAU,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,TAU,DIVIDE_2,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS
ADD_TRIGGER,ADD_TRIGGER,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS
ADD_TRIGGER,ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,TAU,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_3,TAU,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,ADD_TRIGGER,DIVIDE_4,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_4,TAU,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,DIVIDE_2,TAU,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,TAU,DIVIDE_2,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_2,ADD_TRIGGER,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_4,DIVIDE_10,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
